StoreID,SalesQuantity,SalesDate,ItemId
1,1,1/1/2016,1004
1,2,1/2/2016,1004
1,1,1/3/2016,1004
1,1,1/8/2016,1004
1,2,1/9/2016,1005
1,1,1/15/2016,1005
1,1,1/22/2016,1005
1,1,1/30/2016,1005
1,4,1/5/2016,10058
1,1,1/6/2016,10058
1,1,1/8/2016,10058
1,1,1/10/2016,10058
1,1,1/19/2016,10058
1,3,1/22/2016,10058
1,2,1/23/2016,10058
1,1,1/25/2016,10058
1,1,1/29/2016,10058
1,1,1/29/2016,1006
1,1,1/1/2016,10062
1,1,1/2/2016,10062
1,1,1/5/2016,10062
1,1,1/7/2016,10062
1,3,1/9/2016,10062
1,1,1/14/2016,10062
1,1,1/16/2016,10062
1,1,1/18/2016,10062
1,2,1/22/2016,10062
1,1,1/23/2016,10062
1,3,1/24/2016,10062
1,1,1/28/2016,10062
1,1,1/30/2016,10062
1,1,1/2/2016,1009
1,1,1/29/2016,1012
1,1,1/6/2016,1013
1,1,1/29/2016,1013
1,1,1/9/2016,1019
1,1,1/20/2016,1019
1,1,1/29/2016,1020
1,12,1/29/2016,1021
1,1,1/30/2016,1022
1,1,1/6/2016,10236
1,1,1/9/2016,10236
1,1,1/12/2016,10236
1,1,1/14/2016,10236
1,1,1/16/2016,10236
1,2,1/19/2016,10236
1,1,1/22/2016,10236
1,2,1/23/2016,10236
1,1,1/28/2016,10236
1,2,1/2/2016,10238
1,2,1/6/2016,10238
1,2,1/9/2016,10238
1,4,1/12/2016,10238
1,3,1/14/2016,10238
1,2,1/15/2016,10238
1,4,1/16/2016,10238
1,1,1/19/2016,10238
1,6,1/22/2016,10238
1,1,1/29/2016,10238
1,1,1/2/2016,10239
1,1,1/4/2016,10239
1,1,1/7/2016,10239
1,10,1/9/2016,10239
1,1,1/16/2016,10239
1,1,1/19/2016,10239
1,4,1/22/2016,10239
1,2,1/23/2016,10239
1,1,1/29/2016,10239
1,36,1/13/2016,1024
1,2,1/8/2016,10254
1,1,1/13/2016,10254
1,2,1/26/2016,10254
1,2,1/2/2016,10264
1,1,1/10/2016,10264
1,6,1/13/2016,10264
1,2,1/16/2016,10264
1,1,1/17/2016,10264
1,1,1/9/2016,10266
1,1,1/10/2016,10266
1,1,1/15/2016,10266
1,1,1/16/2016,10266
1,1,1/22/2016,10266
1,2,1/23/2016,10266
1,1,1/24/2016,10266
1,1,1/26/2016,10266
1,1,1/29/2016,10266
