StoreID,PODate,ReceivingDate,Quantity,ItemId
1,2015-12-22,2016-01-01,6,5255
1,2015-12-20,2016-01-01,12,8358
1,2015-12-20,2016-01-01,23,4233
1,2015-12-20,2016-01-01,6,3830
1,2015-12-20,2016-01-01,11,4670
1,2015-12-20,2016-01-01,18,4223
1,2015-12-20,2016-01-01,21,4226
1,2015-12-20,2016-01-01,95,3858
1,2015-12-20,2016-01-01,48,4903
1,2015-12-20,2016-01-01,12,3343
1,2015-12-20,2016-01-01,6,3961
1,2015-12-20,2016-01-01,12,8617
1,2015-12-20,2016-01-01,6,443
1,2015-12-20,2016-01-01,12,802
1,2015-12-20,2016-01-01,6,4267
1,2015-12-20,2016-01-01,12,3016
1,2015-12-20,2016-01-01,12,4222
1,2015-12-20,2016-01-01,12,3851
1,2015-12-20,2016-01-01,14,3348
1,2015-12-20,2016-01-01,21,8653
1,2015-12-20,2016-01-01,9,8534
1,2015-12-20,2016-01-01,20,2663
1,2015-12-20,2016-01-01,73,4243
1,2015-12-20,2016-01-01,24,8654
1,2015-12-20,2016-01-01,11,3344
1,2015-12-20,2016-01-01,6,7221
1,2015-12-20,2016-01-01,11,4066
1,2015-12-20,2016-01-01,25,7345
1,2015-12-20,2016-01-01,120,2672
1,2015-12-20,2016-01-01,6,3857
1,2015-12-20,2016-01-01,12,126
1,2015-12-20,2016-01-01,12,4247
1,2015-12-20,2016-01-01,48,8368
1,2015-12-20,2016-01-01,12,4290
1,2015-12-20,2016-01-01,24,4245
1,2015-12-20,2016-01-01,24,4246
1,2015-12-20,2016-01-01,6,5230
1,2015-12-20,2016-01-01,1,4050
1,2015-12-20,2016-01-01,3,6638
1,2015-12-20,2016-01-01,8,824
1,2015-12-20,2016-01-01,6,4221
1,2015-12-20,2016-01-01,12,7978
1,2015-12-20,2016-01-01,6,3436
1,2015-12-20,2016-01-01,24,4404
1,2015-12-24,2016-01-01,4,8978
1,2015-12-24,2016-01-01,12,6234
1,2015-12-24,2016-01-01,6,12586
1,2015-12-24,2016-01-01,12,23712
1,2015-12-24,2016-01-01,11,10874
1,2015-12-24,2016-01-01,6,8232
1,2015-12-24,2016-01-01,11,18027
1,2015-12-23,2016-01-01,36,1232
1,2015-12-23,2016-01-01,22,1231
1,2015-12-23,2016-01-01,24,2015
1,2015-12-23,2016-01-01,11,1770
1,2015-12-23,2016-01-01,9,1595
1,2015-12-23,2016-01-01,12,2143
1,2015-12-23,2016-01-01,8,1220
1,2015-12-23,2016-01-01,11,8725
1,2015-12-23,2016-01-01,5,2760
1,2015-12-23,2016-01-01,50,1233
1,2015-12-23,2016-01-01,6,3614
1,2015-12-23,2016-01-01,6,2518
1,2015-12-23,2016-01-01,107,8910
1,2015-12-23,2016-01-01,12,1545
1,2015-12-23,2016-01-01,62,8200
1,2015-12-23,2016-01-01,36,1789
1,2015-12-23,2016-01-01,6,1323
1,2015-12-23,2016-01-01,18,5299
1,2015-12-23,2016-01-01,3,2062
1,2015-12-23,2016-01-01,13,811
1,2015-12-23,2016-01-01,6,13278
1,2015-12-23,2016-01-01,8,16828
1,2015-12-23,2016-01-01,11,1465
1,2015-12-23,2016-01-01,6,2942
1,2015-12-23,2016-01-01,12,3172
1,2015-12-23,2016-01-01,12,8462
1,2015-12-23,2016-01-01,20,3834
1,2015-12-23,2016-01-01,76,3282
1,2015-12-23,2016-01-01,6,8677
1,2015-12-23,2016-01-01,6,3924
1,2015-12-23,2016-01-01,6,3515
1,2015-12-23,2016-01-01,6,4787
1,2015-12-23,2016-01-01,12,8387
1,2015-12-23,2016-01-01,12,5128
1,2015-12-23,2016-01-01,58,3826
1,2015-12-23,2016-01-01,12,8187
1,2015-12-23,2016-01-01,6,2595
1,2015-12-23,2016-01-01,6,8485
1,2015-12-23,2016-01-01,12,4225
1,2015-12-23,2016-01-01,6,3667
1,2015-12-23,2016-01-01,5,1271
1,2015-12-23,2016-01-01,18,1269
1,2015-12-23,2016-01-01,9,5147
1,2015-12-23,2016-01-01,5,3524
1,2015-12-23,2016-01-01,6,8191
1,2015-12-23,2016-01-01,12,5285
1,2015-12-20,2016-01-01,12,16261
1,2015-12-20,2016-01-01,11,2105
1,2015-12-20,2016-01-01,23,8985
1,2015-12-20,2016-01-01,33,2114
1,2015-12-20,2016-01-01,6,6296
1,2015-12-20,2016-01-01,11,6938
1,2015-12-20,2016-01-01,36,11213
1,2015-12-20,2016-01-01,12,21951
1,2015-12-20,2016-01-01,22,3804
1,2015-12-20,2016-01-01,6,21019
1,2015-12-20,2016-01-01,6,12211
1,2015-12-20,2016-01-01,12,3356
1,2015-12-20,2016-01-01,11,16327
1,2015-12-20,2016-01-01,12,6183
1,2015-12-20,2016-01-01,35,8504
1,2015-12-20,2016-01-01,6,6356
1,2015-12-20,2016-01-01,23,4309
1,2015-12-20,2016-01-01,6,15889
1,2015-12-20,2016-01-01,12,15892
1,2015-12-20,2016-01-01,12,16260
1,2015-12-20,2016-01-01,6,27867
1,2015-12-20,2016-01-01,27,6682
1,2015-12-20,2016-01-01,28,19748
1,2015-12-20,2016-01-01,16,35472
1,2015-12-20,2016-01-01,5,2689
1,2015-12-20,2016-01-01,120,2704
1,2015-12-20,2016-01-01,10,8329
1,2015-12-20,2016-01-01,6,38348
1,2015-12-20,2016-01-01,6,6396
1,2015-12-20,2016-01-01,23,6565
1,2015-12-20,2016-01-01,15,3913
1,2015-12-20,2016-01-01,6,10723
1,2015-12-20,2016-01-01,4,8689
1,2015-12-20,2016-01-01,12,31231
1,2015-12-20,2016-01-01,12,25269
1,2015-12-20,2016-01-01,24,41546
1,2015-12-20,2016-01-01,12,26092
1,2015-12-20,2016-01-01,6,6216
1,2015-12-20,2016-01-01,12,38850
1,2015-12-20,2016-01-01,6,3220
1,2015-12-20,2016-01-01,4,6213
1,2015-12-20,2016-01-01,11,2117
1,2015-12-20,2016-01-01,12,23692
1,2015-12-20,2016-01-01,12,18449
1,2015-12-20,2016-01-01,23,32915
1,2015-12-20,2016-01-01,10,24455
1,2015-12-20,2016-01-01,12,26463
1,2015-12-20,2016-01-01,12,2830
1,2015-12-20,2016-01-01,35,38546
1,2015-12-20,2016-01-01,12,3150
1,2015-12-20,2016-01-01,12,38180
1,2015-12-20,2016-01-01,12,15321
1,2015-12-20,2016-01-01,12,10472
1,2015-12-20,2016-01-01,72,29248
1,2015-12-20,2016-01-01,24,6479
1,2015-12-20,2016-01-01,12,7254
1,2015-12-20,2016-01-01,17,8498
1,2015-12-20,2016-01-01,6,40097
1,2015-12-20,2016-01-01,12,22899
1,2015-12-20,2016-01-01,9,28947
1,2015-12-20,2016-01-01,12,6976
1,2015-12-20,2016-01-01,4,8922
1,2015-12-20,2016-01-01,12,44208
1,2015-12-20,2016-01-01,10,29212
1,2015-12-20,2016-01-01,12,32675
1,2015-12-20,2016-01-01,12,28658
1,2015-12-20,2016-01-01,12,40098
1,2015-12-20,2016-01-01,12,43809
1,2015-12-20,2016-01-01,12,40096
1,2015-12-21,2016-01-01,24,23218
1,2015-12-22,2016-01-01,6,14078
1,2015-12-22,2016-01-01,6,39356
1,2015-12-22,2016-01-01,3,42099
1,2015-12-22,2016-01-01,12,12685
1,2015-12-22,2016-01-01,8,12069
1,2015-12-22,2016-01-01,3,21201
1,2015-12-22,2016-01-01,12,15138
1,2015-12-22,2016-01-01,12,44340
1,2015-12-22,2016-01-01,3,22569
1,2015-12-22,2016-01-01,3,13708
1,2015-12-22,2016-01-01,12,13422
1,2015-12-22,2016-01-01,3,23161
1,2015-12-22,2016-01-01,3,39358
1,2015-12-20,2016-01-01,12,19755
1,2015-12-20,2016-01-01,12,11067
1,2015-12-20,2016-01-01,12,32907
1,2015-12-20,2016-01-01,11,32908
1,2015-12-20,2016-01-01,11,17937
1,2015-12-20,2016-01-01,12,25802
1,2015-12-20,2016-01-01,12,6896
1,2015-12-20,2016-01-01,20,32906
1,2015-12-20,2016-01-01,12,18778
1,2015-12-20,2016-01-01,11,8921
1,2015-12-24,2016-01-01,9,2468
1,2015-12-24,2016-01-01,6,2494
1,2015-12-24,2016-01-01,12,3836
1,2015-12-24,2016-01-01,10,3878
1,2015-12-24,2016-01-01,6,5058
1,2015-12-24,2016-01-01,59,2465
1,2015-12-24,2016-01-01,12,3877
1,2015-12-24,2016-01-01,11,5394
1,2015-12-24,2016-01-01,107,8111
1,2015-12-24,2016-01-01,11,8202
1,2015-12-24,2016-01-01,12,3798
1,2015-12-24,2016-01-01,11,1384
1,2015-12-24,2016-01-01,10,5847
1,2015-12-24,2016-01-01,102,8512
1,2015-12-24,2016-01-01,11,5392
1,2015-12-24,2016-01-01,6,3827
1,2015-12-24,2016-01-01,24,3549
1,2015-12-24,2016-01-01,34,3879
1,2015-12-24,2016-01-01,20,2757
1,2015-12-24,2016-01-01,103,5491
1,2015-12-24,2016-01-01,12,3754
1,2015-12-24,2016-01-01,6,5616
1,2015-12-24,2016-01-01,12,8517
1,2015-12-24,2016-01-01,18,4734
1,2015-12-24,2016-01-01,11,3840
1,2015-12-24,2016-01-01,6,3593
1,2015-12-24,2016-01-01,115,3606
1,2015-12-24,2016-01-01,111,3609
1,2015-12-24,2016-01-01,24,2432
1,2015-12-24,2016-01-01,11,3747
1,2015-12-24,2016-01-01,12,3513
1,2015-12-24,2016-01-01,18,2753
1,2015-12-24,2016-01-01,12,4263
1,2015-12-24,2016-01-01,12,8440
1,2015-12-24,2016-01-01,12,3025
1,2015-12-24,2016-01-01,11,4103
1,2015-12-24,2016-01-01,115,8053
1,2015-12-24,2016-01-01,24,597
1,2015-12-24,2016-01-01,12,2043
1,2015-12-24,2016-01-01,137,4261
1,2015-12-24,2016-01-01,24,4265
1,2015-12-24,2016-01-01,24,8441
1,2015-12-24,2016-01-01,12,8447
1,2015-12-24,2016-01-01,110,3315
1,2015-12-24,2016-01-01,12,4478
1,2015-12-24,2016-01-01,36,8680
1,2015-12-24,2016-01-01,138,8726
1,2015-12-24,2016-01-01,6,8778
1,2015-12-24,2016-01-01,12,3503
1,2015-12-24,2016-01-01,47,4736
1,2015-12-24,2016-01-01,6,2054
