StoreID,ItemID,SalesDate,SalesQuantity
1,10058,2025-01-01,6
1,10058,2025-01-02,11
1,10058,2025-01-03,10
1,10058,2025-01-04,13
1,10058,2025-01-05,22
1,10058,2025-01-06,15
1,10058,2025-01-07,13
1,10058,2025-01-08,11
1,10058,2025-01-09,6
1,10058,2025-01-10,7
1,10058,2025-01-11,22
1,10058,2025-01-12,7
1,10058,2025-01-13,12
1,10058,2025-01-14,11
1,10058,2025-01-15,14
1,10058,2025-01-16,7
1,10058,2025-01-17,6
1,10058,2025-01-18,10
1,10058,2025-01-19,12
1,10058,2025-01-20,6
1,10058,2025-01-21,9
1,10058,2025-01-22,6
1,10058,2025-01-23,15
1,10058,2025-01-24,10
1,10058,2025-01-25,7
1,10058,2025-01-26,18
1,10058,2025-01-27,7
1,10058,2025-01-28,15
1,10058,2025-01-29,7
1,10058,2025-01-30,10
1,10058,2025-01-31,9
1,10058,2025-02-01,22
1,10058,2025-02-02,10
1,10058,2025-02-03,7
1,10058,2025-02-04,8
1,10058,2025-02-05,12
1,10058,2025-02-06,9
1,10058,2025-02-07,11
1,10058,2025-02-08,7
1,10058,2025-02-09,15
1,10058,2025-02-10,6
1,10058,2025-02-11,12
1,10058,2025-02-12,5
1,10058,2025-02-13,6
1,10058,2025-02-14,9
1,10058,2025-02-15,13
1,10058,2025-02-16,13
1,10058,2025-02-17,6
1,10058,2025-02-18,15
1,10058,2025-02-19,6
1,10058,2025-02-20,5
1,10058,2025-02-21,15
1,10058,2025-02-22,23
1,10058,2025-02-23,19
1,10058,2025-02-24,8
1,10058,2025-02-25,14
1,10058,2025-02-26,15
1,10058,2025-02-27,5
1,10058,2025-02-28,6
1,10058,2025-03-01,14
1,10058,2025-03-02,20
1,10058,2025-03-03,5
1,10058,2025-03-04,15
1,10058,2025-03-05,14
1,10058,2025-03-06,10
1,10058,2025-03-07,15
1,10058,2025-03-08,17
1,10058,2025-03-09,7
1,10058,2025-03-10,7
1,10058,2025-03-11,15
1,10058,2025-03-12,6
1,10058,2025-03-13,9
1,10058,2025-03-14,15
1,10058,2025-03-15,13
1,10058,2025-03-16,23
1,10058,2025-03-17,5
1,10058,2025-03-18,14
1,10058,2025-03-19,16
1,10058,2025-03-20,10
1,10058,2025-03-21,9
1,10058,2025-03-22,19
1,10058,2025-03-23,10
1,10058,2025-03-24,15
1,10058,2025-03-25,11
1,10058,2025-03-26,10
1,10058,2025-03-27,8
1,10058,2025-03-28,11
1,10058,2025-03-29,9
1,10058,2025-03-30,9
1,10058,2025-03-31,6
1,10058,2025-04-01,12
1,10058,2025-04-02,14
1,10058,2025-04-03,13
1,10058,2025-04-04,15
1,10058,2025-04-05,13
1,10058,2025-04-06,20
1,10058,2025-04-07,16
1,10058,2025-04-08,8
1,10058,2025-04-09,13
1,10058,2025-04-10,13
1,10058,2025-04-11,7
1,10058,2025-04-12,7
1,10058,2025-04-13,14
1,10058,2025-04-14,14
1,10058,2025-04-15,16
1,10058,2025-04-16,9
1,10058,2025-04-17,13
1,10058,2025-04-18,5
1,10058,2025-04-19,20
1,10058,2025-04-20,16
1,10058,2025-04-21,8
1,10058,2025-04-22,16
1,10058,2025-04-23,6
1,10058,2025-04-24,9
1,10058,2025-04-25,11
1,10058,2025-04-26,17
1,10058,2025-04-27,24
1,10058,2025-04-28,16
1,10058,2025-04-29,6
1,10058,2025-04-30,16
1,10058,2025-05-01,15
1,10058,2025-05-02,6
1,10058,2025-05-03,19
1,10058,2025-05-04,13
1,10058,2025-05-05,15
1,10058,2025-05-06,13
1,10058,2025-05-07,13
1,10058,2025-05-08,8
1,10058,2025-05-09,6
1,10058,2025-05-10,17
1,10058,2025-05-11,10
1,10058,2025-05-12,16
1,10058,2025-05-13,8
1,10058,2025-05-14,5
1,10058,2025-05-15,15
1,10058,2025-05-16,6
1,10058,2025-05-17,9
1,10058,2025-05-18,7
1,10058,2025-05-19,16
1,10058,2025-05-20,5
1,10058,2025-05-21,10
1,10058,2025-05-22,9
1,10058,2025-05-23,14
1,10058,2025-05-24,7
1,10058,2025-05-25,22
1,10058,2025-05-26,15
1,10058,2025-05-27,16
1,10058,2025-05-28,13
1,10058,2025-05-29,8
1,10058,2025-05-30,8
1,10058,2025-05-31,17
1,10058,2025-06-01,13
1,10058,2025-06-02,8
1,10058,2025-06-03,13
1,10058,2025-06-04,15
1,10058,2025-06-05,12
1,10058,2025-06-06,12
1,10058,2025-06-07,18
1,10058,2025-06-08,12
1,10058,2025-06-09,5
1,10058,2025-06-10,8
1,10058,2025-06-11,7
1,10058,2025-06-12,5
1,10058,2025-06-13,9
1,10058,2025-06-14,19
1,10058,2025-06-15,18
1,10058,2025-06-16,8
1,10058,2025-06-17,14
1,10058,2025-06-18,15
1,10058,2025-06-19,5
1,10058,2025-06-20,14
1,10058,2025-06-21,15
1,10058,2025-06-22,15
1,10058,2025-06-23,11
1,10058,2025-06-24,11
1,10058,2025-06-25,13
1,10058,2025-06-26,14
1,10058,2025-06-27,13
1,10058,2025-06-28,9
1,10058,2025-06-29,13
1,10058,2025-06-30,10
1,10058,2025-07-01,13
1,10058,2025-07-02,10
1,10058,2025-07-03,14
1,10058,2025-07-04,15
1,10058,2025-07-05,10
1,10058,2025-07-06,18
1,10058,2025-07-07,14
1,10058,2025-07-08,12
1,10058,2025-07-09,10
1,10058,2025-07-10,8
1,10058,2025-07-11,8
1,10058,2025-07-12,16
1,10058,2025-07-13,9
1,10058,2025-07-14,15
1,10058,2025-07-15,8
1,10058,2025-07-16,5
1,10058,2025-07-17,15
1,10058,2025-07-18,10
1,10058,2025-07-19,9
1,10058,2025-07-20,15
1,10058,2025-07-21,14
1,10058,2025-07-22,8
1,10058,2025-07-23,8
1,10058,2025-07-24,11
1,10058,2025-07-25,14
1,10058,2025-07-26,21
1,10058,2025-07-27,7
1,10058,2025-07-28,11
1,10058,2025-07-29,5
1,10058,2025-07-30,9
1,10058,2025-07-31,14
